,token0symbol
WBNB,427964
CAKE,151815
SAFEMOON,118916
USDT,44648
SHIB,29083
FINE,18581
IOTX,4568
TBAKE,3010
UST,3009
ZEP,2978
WETH,2930
ETH,2153
CARMA,1949
GABECOIN,1790
CORGIB,1784
SAFEMARS,1756
MIST,1689
BURGER,1683
SAFESUN,1652
SBYTE,1610
SAFESTAR,1540
WSB,1495
BUNNY,1370
BUSD,1369
MOONLIGHT,1334
QUICK,1101
YUANG,1097
FOGE,1089
PEPE,1080
KUN,1078
XDOGE,1019
CELL,917
XBN,907
WDEFI,888
SFUND,881
MNSTP,838
WGOLD,814
BHIBA,765
WILLIE,729
XRP2,692
PAL,692
DRFT,664
AIN,663
LBTC,614
GOAT,600
WHEAT,593
MOFI,584
TLOS,584
LOCKCHAIN,570
HODLCOIN,545
SAVEANIMAL,519
TRIAS,515
TYPH,463
MDG,462
$BREAST,452
GREEN,446
DAI,443
LAVA,440
XVS,431
GRIMEX,422
PINKMOON,412
BAT,406
HOKI,398
VAI,395
GBT,389
BTCB,371
PTE,367
CDOGE,363
MELLO,361
POKEMOON,349
WBTC,348
KASHIBA,341
KET,339
TEASE,335
SHIELD FINANCE,331
LIGHT,319
RNB,315
THANOS,313
DOPEAF,313
BBT,312
BIRD,310
FLX,309
AIRT,289
DOGE1,280
DEEZ,278
CATC,277
KTN,273
OCTAX,272
MOONSTERS,268
COLL,267
NLK,267
MADMOON,259
LTMSU,255
TT,247
MUSLUMBABA,247
BASD,246
KENNEL,243
ESPRESSO,239
VAIVO,237
CCAKE,231
NIGICAT,228
SAVE,228
DIVINE,226
BC,224
MEOW,221
FFS2,221
CR,217
LDO,213
BUFFDOGE,211
GREENMARS,203
TFC,201
LOL,201
XCAD,198
WOOINU,198
DOVE,197
NIIFI,191
MILIS,191
FWATCH,190
DOGERO,184
MNKE,183
CTL,183
WSHIBA,182
LEAD,179
WHIRL,178
SSF,177
BUDA,177
NINJATO,176
FXT,175
FROGELON,172
ONFTS,171
VRX,170
TWIN,168
YUUMA,168
PDTR,166
BREW,165
LAGOON,165
FRUIT,165
GFLY,164
USDG,164
ASAMOON,162
HUSKIES,157
WISE,157
HUSK,155
DEXE,154
FTECH,154
ISLINU,151
ZOOC,149
NIMBUS,145
REIS,144
SAT,143
SF,143
EBM,140
🦊FOXYDOGE,140
HARP,139
CLEARMOON,135
MSC,134
FFD,134
BALLS,131
PET,131
KIR,131
ANIMEMOON,130
FDOG,129
STRO,129
BEAGLE,126
DICKIES,126
DGCL,125
BIGBRAIN,125
ZEE,124
POLAR,122
PRT,121
COSMOAPE,120
LAMBORUSH,118
FREEPALESTINE,118
UNU,117
BABYPIG,116
CTF,115
GRZX,114
FRAX,114
STRK,113
EXF,112
BTT,110
USE,110
CADY,110
SFD,108
SAFECAKE,108
APYS,107
WEED,106
PHAR,104
TCMC,104
PUMP,103
ATM,102
MOONGENIE,102
SWHALE,101
WBR,101
ICONETWORK,101
EXV,101
GOT,100
SUSFI,100
CLIMB,100
PUNCH,98
WLT,97
PANDA,97
NFT SPORT,96
BLK,96
SAFEICP,95
JI,94
DOGEV,94
X1KN,94
UPCAT,93
DGNZ,93
ROCKETMAN,93
LA,93
RHF,93
51NFT,92
PUG,92
EWTB,92
MEMELON,92
BSCGOLD,91
GOKU,91
BURN,90
OLIFE,90
CFN,89
LAVABTC,87
CHUBCHOW,87
VP,86
MAD,86
BR,86
YODL,85
MS,85
TREE,82
ORCA,82
DFX,81
TESLF,81
LACA,81
NMASK,81
CRU,80
PDOG,80
UAPE,79
LTM,79
ALPHR,78
JWC,78
PIG,78
BZRX,78
GOLD,77
YMOON,77
BKPR,77
LEMON,77
KEN,77
GS,76
HOLD,75
HODLUPMOON,75
ZOO,75
SAFEBABYPANDA,74
GOD,74
CRD,74
VSHIBA,73
XRP,72
WPIKE-ORC,72
CE,72
OGC,72
BOR,72
OA,72
WAVES,71
ACORGI,70
MARSDOGE,69
DLH,68
SPACENYAN,68
ROYALMOON,68
PI,67
SGEM,67
HACHIKO,66
YTSLA,66
BHC,66
STICK,65
ZDCASH,65
ΤBTC,65
SPORTON,64
UNIDX,64
SCOW,64
WLF,64
KIT,64
EL,64
SMASH,63
AD,62
BOG,62
LDOTA,61
SML,61
IDNA,61
NFTS,61
UPI,60
SHOGE,60
ADEL,60
MVN,58
EOS,58
YAX,58
